student_id,student_name,ma_mon,ten_mon,ma_lop_hoc_phan,loai_hoc_phan,so_chi_lt,so_chi_th,thuong_xuyen_1,thuong_xuyen_2,giua_ky,thuc_hanh_1,thuc_hanh_2,thuc_hanh_3,diem_tich_luy_hien_tai,status_canh_bao,diem_trung_binh_thuc_hanh,diem_cuoi_ky_tich_hop,diem_chu_hien_tai,status_canh_bao_final
SV1001,Trần Minh An,INT1002,Cơ sở dữ liệu,INT1002_L01,ly_thuyet,3.0,0.0,8.566868,5.631246,3.9797945,8.339751,5.483545,9.560657,3.6384987831115723,Nguy co rot mon,0.0,3.6384987831115723,F,Nguy co rot mon
SV1001,Trần Minh An,INT1001,Lập trình Python,INT1001_L01,tich_hop,2.0,1.0,4.085397,7.037439,4.139195,3.5615726,3.675138,8.011298,5.085785388946533,An toan,5.0826697,5.085785388946533,D+,An toan
SV1002,Phạm Đức Linh,INT1002,Cơ sở dữ liệu,INT1002_L01,ly_thuyet,3.0,0.0,7.7834516,9.298092,3.0678937,6.5061536,9.84911,7.0042205,9.457036972045898,An toan,0.0,9.457036972045898,A+,An toan
SV1002,Phạm Đức Linh,GDTC101,Giáo dục thể chất 1*,GDTC101_L01,thuc_hanh,0.0,1.0,8.125182,4.547089,3.8210862,4.7489014,4.0463014,8.227683,2.374814987182617,Nguy co rot mon,5.674295,2.374814987182617,F,Nguy co rot mon
SV1003,Phạm Thu Nam,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,2.0,1.5,7.8111315,8.555687,8.159398,6.3321567,6.4986405,8.137838,7.66717917578561,Nguy co rot mon,6.9895453,7.66717917578561,B,An toan
SV1003,Phạm Thu Nam,GDTC101,Giáo dục thể chất 1*,GDTC101_L01,thuc_hanh,0.0,1.0,4.837864,8.787023,4.502786,3.879661,4.097693,6.360501,4.400318622589111,An toan,4.779285,4.400318622589111,D,An toan
SV1003,Phạm Thu Nam,INT1001,Lập trình Python,INT1001_L01,tich_hop,2.0,1.0,5.9910474,6.0968943,1.2555629,5.251487,5.5630674,8.315774,5.090815385182698,An toan,6.376776,5.090815385182698,D+,An toan
SV1004,Hoàng Hoàng Phương,GDTC101,Giáo dục thể chất 1*,GDTC101_L01,thuc_hanh,0.0,1.0,8.9400215,5.100593,2.968337,6.2773232,9.683961,6.8472605,0.5749059319496155,Nguy co rot mon,7.602848,0.5749059319496155,F,Nguy co rot mon
SV1004,Hoàng Hoàng Phương,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,2.0,1.5,2.1643333,9.283355,4.7309904,9.957354,4.6750884,5.4295635,5.94765397480556,An toan,6.6873355,5.94765397480556,C,An toan
SV1005,Trần Thị Phương,GDTC101,Giáo dục thể chất 1*,GDTC101_L01,thuc_hanh,0.0,1.0,4.996528,9.44709,5.020522,8.99519,4.99819,6.2143536,5.53054666519165,An toan,6.735911,5.53054666519165,C,An toan
SV1005,Trần Thị Phương,INT1001,Lập trình Python,INT1001_L01,tich_hop,2.0,1.0,4.833892,7.4388666,9.245552,3.7981362,5.5063977,3.0242367,6.151710033416748,An toan,4.10959,6.151710033416748,C+,An toan
SV1005,Trần Thị Phương,GDQP102,Giáo dục quốc phòng*,GDQP102_L01,ly_thuyet,3.0,0.0,8.217017,5.030538,4.683764,9.181282,8.827464,3.955467,1.3318886756896973,Nguy co rot mon,0.0,1.3318886756896973,F,Nguy co rot mon
SV1005,Trần Thị Phương,INT1002,Cơ sở dữ liệu,INT1002_L01,ly_thuyet,3.0,0.0,9.754444,3.513057,7.35336,4.236272,9.310245,6.1951084,6.658025741577148,An toan,0.0,6.658025741577148,C+,An toan
SV1006,Vũ Hải Anh,INT1002,Cơ sở dữ liệu,INT1002_L01,ly_thuyet,3.0,0.0,8.722652,5.0067515,3.3485346,7.703121,9.5435295,5.921586,9.621715545654297,An toan,0.0,9.621715545654297,A+,An toan
SV1006,Vũ Hải Anh,INT1001,Lập trình Python,INT1001_L01,tich_hop,2.0,1.0,6.8498273,7.3315225,8.594792,5.3837385,4.545501,8.419643,7.1001296043396,Nguy co rot mon,6.1162944,7.1001296043396,B,An toan
SV1006,Vũ Hải Anh,GDTC101,Giáo dục thể chất 1*,GDTC101_L01,thuc_hanh,0.0,1.0,5.2583604,3.5081732,3.977961,5.2029586,8.052398,8.247969,5.613796710968018,An toan,7.1677747,5.613796710968018,C,An toan
SV1007,Bùi Thảo Khoa,GDTC101,Giáo dục thể chất 1*,GDTC101_L01,thuc_hanh,0.0,1.0,8.486085,4.475163,2.5245953,8.7484255,4.5834994,3.1938372,0.5808756947517395,Nguy co rot mon,5.508587,0.5808756947517395,F,Nguy co rot mon
SV1007,Bùi Thảo Khoa,INT1002,Cơ sở dữ liệu,INT1002_L01,ly_thuyet,3.0,0.0,7.8565273,2.7033672,4.038952,6.925552,9.546416,4.262765,3.490483522415161,Nguy co rot mon,0.0,3.490483522415161,F,Nguy co rot mon
SV1008,Lê Văn Bình,GDQP102,Giáo dục quốc phòng*,GDQP102_L01,ly_thuyet,3.0,0.0,7.567941,6.3779755,8.08762,7.2082357,5.1912127,5.451356,8.700945854187012,An toan,0.0,8.700945854187012,A,An toan
SV1008,Lê Văn Bình,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,2.0,1.5,7.1286798,4.364882,8.320387,3.9093094,9.261432,7.874387,6.78053263255528,Nguy co rot mon,7.015043,6.78053263255528,C+,An toan
SV1009,Trần Văn Bình,INT1002,Cơ sở dữ liệu,INT1002_L01,ly_thuyet,3.0,0.0,5.125559,3.136185,9.936722,7.0467553,4.5790315,3.4827359,7.882450580596924,An toan,0.0,7.882450580596924,B,An toan
SV1009,Trần Văn Bình,GDQP102,Giáo dục quốc phòng*,GDQP102_L01,ly_thuyet,3.0,0.0,3.537136,3.8189123,3.8999097,6.78269,9.537001,8.232752,8.303095817565918,An toan,0.0,8.303095817565918,B+,An toan
SV1009,Trần Văn Bình,GDTC101,Giáo dục thể chất 1*,GDTC101_L01,thuc_hanh,0.0,1.0,3.031405,7.7326813,7.953452,4.1485896,7.6488314,6.930868,7.576363563537598,An toan,6.242763,7.576363563537598,B,An toan
SV1010,Nguyễn Hoàng Anh,GDTC101,Giáo dục thể chất 1*,GDTC101_L01,thuc_hanh,0.0,1.0,4.4269543,3.6054032,2.8455696,5.0018992,9.806544,3.0439389,7.959225654602051,An toan,5.950794,7.959225654602051,B,An toan
SV1010,Nguyễn Hoàng Anh,GDQP102,Giáo dục quốc phòng*,GDQP102_L01,ly_thuyet,3.0,0.0,9.588347,2.4178803,2.5817826,9.301259,8.594848,5.490603,5.095726490020752,An toan,0.0,5.095726490020752,D+,An toan
SV1011,Phan Hải Hùng,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,2.0,1.5,5.8288407,4.2741275,8.881288,6.1111817,7.2667265,4.287893,6.139734881264823,An toan,5.888601,6.139734881264823,C+,An toan
SV1011,Phan Hải Hùng,INT1002,Cơ sở dữ liệu,INT1002_L01,ly_thuyet,3.0,0.0,8.2432165,3.9512289,4.656979,8.920923,3.0905662,7.6603746,3.1425282955169678,Nguy co rot mon,0.0,3.1425282955169678,F,Nguy co rot mon
SV1011,Phan Hải Hùng,GDTC101,Giáo dục thể chất 1*,GDTC101_L01,thuc_hanh,0.0,1.0,4.581009,5.7675276,9.195016,4.1050754,5.618478,9.682671,2.9473421573638916,Nguy co rot mon,6.468741,2.9473421573638916,F,Nguy co rot mon
SV1011,Phan Hải Hùng,GDQP102,Giáo dục quốc phòng*,GDQP102_L01,ly_thuyet,3.0,0.0,7.828603,8.293281,7.611675,6.7317066,3.0284367,4.2565002,3.2126646041870117,Nguy co rot mon,0.0,3.2126646041870117,F,Nguy co rot mon
SV1012,Lê Đức Phương,INT1002,Cơ sở dữ liệu,INT1002_L01,ly_thuyet,3.0,0.0,9.184059,5.14477,2.776758,3.3386626,7.4853415,9.734558,5.4663214683532715,An toan,0.0,5.4663214683532715,D+,An toan
SV1012,Lê Đức Phương,INT1001,Lập trình Python,INT1001_L01,tich_hop,2.0,1.0,3.6844563,4.7708945,8.2674,7.879029,4.0123663,3.9873939,5.480477174123128,An toan,5.29293,5.480477174123128,D+,An toan
SV1013,Phan Tuấn Linh,INT1002,Cơ sở dữ liệu,INT1002_L01,ly_thuyet,3.0,0.0,6.4682355,9.762873,3.60347,7.2952747,3.933612,5.2483974,9.465975761413574,An toan,0.0,9.465975761413574,A+,An toan
SV1013,Phan Tuấn Linh,GDQP102,Giáo dục quốc phòng*,GDQP102_L01,ly_thuyet,3.0,0.0,3.3701096,6.36617,5.997546,9.084513,8.873396,7.658626,3.1695289611816406,Nguy co rot mon,0.0,3.1695289611816406,F,Nguy co rot mon
SV1013,Phan Tuấn Linh,INT1001,Lập trình Python,INT1001_L01,tich_hop,2.0,1.0,3.955349,5.797045,5.771123,4.5650764,3.795633,4.1548653,4.840289910634358,An toan,4.1718583,4.840289910634358,D,An toan
SV1013,Phan Tuấn Linh,GDTC101,Giáo dục thể chất 1*,GDTC101_L01,thuc_hanh,0.0,1.0,6.525868,8.000088,8.731062,6.104078,7.4566526,5.994938,9.836657524108887,An toan,6.518556,9.836657524108887,A+,An toan
SV1014,Phạm Thảo Nam,INT1001,Lập trình Python,INT1001_L01,tich_hop,2.0,1.0,4.3276725,2.0222096,5.2044053,9.711935,4.4517803,8.009527,5.031312942504883,An toan,7.391081,5.031312942504883,D+,An toan
SV1014,Phạm Thảo Nam,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,2.0,1.5,5.249731,7.1860986,5.133512,4.6298313,7.090759,7.730589,6.125281197684152,Nguy co rot mon,6.4837265,6.125281197684152,C+,An toan
SV1014,Phạm Thảo Nam,INT1002,Cơ sở dữ liệu,INT1002_L01,ly_thuyet,3.0,0.0,3.4523168,8.512814,8.724237,3.306797,3.440497,6.76131,4.930774688720703,An toan,0.0,4.930774688720703,D,An toan
SV1014,Phạm Thảo Nam,GDTC101,Giáo dục thể chất 1*,GDTC101_L01,thuc_hanh,0.0,1.0,9.68252,8.139752,7.9625754,5.9668097,8.555539,6.321706,8.898859024047852,An toan,6.9480186,8.898859024047852,A,An toan
SV1015,Hoàng Thảo Linh,INT1001,Lập trình Python,INT1001_L01,tich_hop,2.0,1.0,3.9300523,5.5442176,2.0714285,3.8296657,9.325037,8.099554,4.927294890085856,Nguy co rot mon,7.0847526,4.927294890085856,D,An toan
SV1015,Hoàng Thảo Linh,GDQP102,Giáo dục quốc phòng*,GDQP102_L01,ly_thuyet,3.0,0.0,9.698529,6.4268436,9.719598,4.30402,4.899819,8.738891,2.7902846336364746,Nguy co rot mon,0.0,2.7902846336364746,F,Nguy co rot mon
SV1015,Hoàng Thảo Linh,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,2.0,1.5,2.430319,5.479682,3.6035311,8.636626,4.1709824,4.6953096,4.693470614297049,Nguy co rot mon,5.8343062,4.693470614297049,D,An toan
SV1016,Phạm Minh Linh,INT1001,Lập trình Python,INT1001_L01,tich_hop,2.0,1.0,2.278715,6.4883046,7.2441626,4.0234466,3.0809698,7.9508467,5.230847358703613,Nguy co rot mon,5.018421,5.230847358703613,D+,An toan
SV1016,Phạm Minh Linh,INT1002,Cơ sở dữ liệu,INT1002_L01,ly_thuyet,3.0,0.0,4.526104,3.7639933,2.5776055,3.5866036,6.692736,9.854637,4.4474968910217285,An toan,0.0,4.4474968910217285,D,An toan
SV1016,Phạm Minh Linh,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,2.0,1.5,4.3756227,5.791597,2.4672596,7.498481,9.704471,4.043825,5.441821166447231,Nguy co rot mon,7.0822587,5.441821166447231,D+,An toan
SV1017,Phan Hải Chinh,INT1001,Lập trình Python,INT1001_L01,tich_hop,2.0,1.0,7.29564,3.3462396,7.710282,6.773203,6.120755,3.6536798,5.916884581247966,An toan,5.515879,5.916884581247966,C,An toan
SV1017,Phan Hải Chinh,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,2.0,1.5,7.0736184,3.0698774,1.7119908,4.8314776,7.0235467,6.992304,4.950663225991385,Nguy co rot mon,6.2824426,4.950663225991385,D,An toan
SV1017,Phan Hải Chinh,INT1002,Cơ sở dữ liệu,INT1002_L01,ly_thuyet,3.0,0.0,2.918619,2.708491,7.1086555,9.64317,3.6780505,4.952766,2.2380597591400146,Nguy co rot mon,0.0,2.2380597591400146,F,Nguy co rot mon
SV1018,Lê Minh Đức,GDTC101,Giáo dục thể chất 1*,GDTC101_L01,thuc_hanh,0.0,1.0,4.766572,6.010331,8.715388,8.163018,8.23388,7.6188073,2.4685134887695312,Nguy co rot mon,8.005235,2.4685134887695312,F,Nguy co rot mon
SV1018,Lê Minh Đức,INT1001,Lập trình Python,INT1001_L01,tich_hop,2.0,1.0,3.1574645,2.1586897,9.431752,7.6633654,8.040053,8.462008,5.96236006418864,An toan,8.055142,5.96236006418864,C,An toan
SV1018,Lê Minh Đức,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,2.0,1.5,4.621465,4.606714,9.166366,8.3053875,9.215453,6.218218,6.895016806466239,An toan,7.913019,6.895016806466239,C+,An toan
SV1018,Lê Minh Đức,INT1002,Cơ sở dữ liệu,INT1002_L01,ly_thuyet,3.0,0.0,3.6222892,6.223298,9.780973,4.5203156,3.924015,8.605172,0.5946456789970398,Nguy co rot mon,0.0,0.5946456789970398,F,Nguy co rot mon
SV1019,Đặng Văn Anh,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,2.0,1.5,3.3643084,4.4400964,2.0334747,7.7049785,6.8810463,3.5708354,4.4677188737051825,An toan,6.0522866,4.4677188737051825,D,An toan
SV1019,Đặng Văn Anh,GDQP102,Giáo dục quốc phòng*,GDQP102_L01,ly_thuyet,3.0,0.0,9.129295,9.008066,4.7421083,7.381077,3.0466805,5.466003,2.986543655395508,Nguy co rot mon,0.0,2.986543655395508,F,Nguy co rot mon
