student_id,student_name,ma_mon,ten_mon,ma_lop_hoc_phan,loai_hoc_phan,tong_so_chi,thuong_xuyen_1,thuong_xuyen_2,giua_ky,thuc_hanh_1,thuc_hanh_2,thuc_hanh_3,diem_tich_luy_hien_tai,diem_cuoi_ky_tich_hop,diem_chu_hien_tai,status_canh_bao_final
SV1001,Đỗ Văn Đức,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,2.482384,3.8641787,6.9972997,9.32182,7.4016066,7.865509,6.054393223353794,6.054393223353794,C+,An toan
SV1002,Vũ Văn Linh,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,6.434223,9.01595,3.312086,7.9611197,8.083794,6.938152,6.857058729444232,6.857058729444232,C+,An toan
SV1005,Trần Minh Phương,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,6.0597153,8.162646,3.4099627,6.465229,5.4656186,7.0704155,6.073004177638462,6.073004177638462,C+,An toan
SV1008,Lê Minh Khoa,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,9.6455145,5.2839904,2.1200886,5.553198,8.94405,6.48933,6.245624201638358,6.245624201638358,C+,An toan
SV1013,Vũ Minh Nam,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,7.9004126,7.8365507,2.5570517,3.088932,4.693115,3.7132583,5.126760687146868,5.126760687146868,D+,An toan
SV1015,Nguyễn Thị Bình,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,3.4743779,5.46716,5.3432474,5.513639,6.618499,9.097709,5.753746713910784,5.753746713910784,C,An toan
SV1017,Đặng Tuấn Vy,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,6.811178,4.334193,7.5748158,8.220111,9.585879,5.824024,6.941466127123151,6.941466127123151,C+,An toan
SV1019,Hoàng Ngọc Linh,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,6.8784385,2.8355503,7.2803636,6.9805236,4.322376,3.8059196,5.395422118050711,5.395422118050711,D+,An toan
SV1021,Phan Minh Anh,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,2.8832498,6.2397904,2.1625457,4.1359572,3.1716535,5.690442,4.006500244140625,4.006500244140625,D,An toan
SV1022,Đỗ Ngọc Phương,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,6.954441,3.9315486,4.7151732,8.950922,4.6672153,5.3216753,5.677337578364781,5.677337578364781,C,An toan
SV1023,Hoàng Minh Anh,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,8.422587,6.8521705,9.115497,7.3478866,9.854112,7.2005754,8.131844929286412,8.131844929286412,B+,An toan
SV1025,Nguyễn Thị Trang,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,4.4927754,9.001216,2.1299589,8.054854,4.612255,7.3750806,5.839160510471889,5.839160510471889,C,An toan
SV1029,Hoàng Thị Đức,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,9.605802,4.19812,3.4022477,7.4472723,3.481085,5.8739862,5.677700451442173,5.677700451442173,C,An toan
SV1032,Phan Thu Trang,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,4.964594,9.861886,1.9443123,5.0554132,7.096392,7.065845,5.939815316881452,5.939815316881452,C,An toan
SV1038,Đặng Văn An,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,2.055248,3.4841483,1.1575782,4.707599,4.9560075,5.5152287,3.444019249507359,3.444019249507359,F,Nguy co rot mon
SV1039,Lê Hải Linh,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,5.9474998,6.9069533,2.878155,4.291392,6.7592163,6.97705,5.572066852024624,5.572066852024624,C,An toan
SV1040,Đỗ Ngọc Phương,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,2.14058,3.6660266,2.0877454,7.2484,3.4885175,7.816339,4.154151235307966,4.154151235307966,D,An toan
SV1041,Phan Minh Chinh,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,4.73409,6.989667,6.509817,8.918143,6.140532,4.9673142,6.333917277199881,6.333917277199881,C+,An toan
SV1043,Bùi Thảo Trang,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,2.998598,5.0217113,5.885907,6.013469,6.2362328,9.375077,5.7380572727748325,5.7380572727748325,C,An toan
SV1044,Đỗ Thảo Hùng,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,7.550324,6.3688936,3.3447583,3.086534,9.939003,3.8768177,5.702998433794294,5.702998433794294,C,An toan
SV1045,Phạm Hải Nam,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,6.1278343,7.946768,1.1586263,7.820126,6.8052955,4.8502407,5.683804716382708,5.683804716382708,C,An toan
SV1046,Đặng Thu Vy,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,3.0913553,9.24452,3.0990071,5.6752014,4.36218,8.326217,5.5633489063807895,5.5633489063807895,C,An toan
SV1048,Trần Đức Bình,INT1003,Phát triển ứng dụng,INT1003_L01,tich_hop,3.5,6.8468323,8.633246,5.5531707,7.8028045,8.517836,8.728056,7.584718431745257,7.584718431745257,B,An toan
